# Diversion and return flows, cfs. One row per day of a generic (non-leap) year.
# Read by scripts/externalRules/DiversionFromCSV.py
#
# Column headers are ResSim element names. A positive number takes water out of the
# network, a negative number puts it back, so the Return columns are negative.
#
# GENERATED from data/daily_diversions_returns_ALT.csv by
# scripts/externalRules/_offline_tests/build_DiversionConfig.py
# Do not edit by hand -- rerun that script instead.
#
# The source holds one value per MONTH, repeated across every day of that month.
# It is written out day by day only to match the layout the other config files use.
Month,Day,Diversion 1 down,Diversion 1 up,Diversion 2,Diversion 3,Diversion 4,Diversion 5,Diversion 6,Diversion 7,Diversion 8,Diversion 9,Diversion 10,Diversion 11,Diversion 12,Diversion 13,Diversion 14,Diversion 15,Return 1 down,Return 1 up,Return 2,Return 3,Return 4,Return 5,Return 6,Return 7,Return 8,Return 9,Return 10,Return 11,Return 12,Return 13,Return 14,Return 15
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-1,-1,-2,-2,-2,-1,-1,0,0,-1,0,0,0,0
