#Min flow target at Salem (cfs) to be read in by ResSim scripted rule,,,,,,,,,,,,
#From 2008 BiOp,,,,,,,,,,,,
#Identical to ResSim DS control rule conventions with the minimum flow at 01Apr applying from 01Apr to 16Apr,,,,,,,,,,,,
#Sometimes when opening in CSV the dates will get all messed up. The columns should be formatted as text like 01Jun,,,,,,,,,,,,
WY_type,01Jan,01Apr,16Apr,01May,01Jun,16Jun,01Jul,01Aug,16Aug,01Sep,01Oct,01Nov
0,0,15000,15000,15000,11000,5500,5000,5000,5000,5000,5000,0
0.9,0,15000,15000,15000,11000,5500,5000,5000,5000,5000,5000,0
1.2,0,17800,17800,15000,13000,8700,6000,6000,6500,7000,7000,0
1.48,0,17800,17800,15000,13000,8700,6000,6000,6500,7000,7000,0
9.9,0,17800,17800,15000,13000,8700,6000,6000,6500,7000,7000,0
