DATE,DET,GPR,FOS,CGR,BLU,FAL,HCR,LOP,DOR,FRN,COT
24Feb2025  0800,1503.0,962.0,619.26,1608.4,1279.6,780.04,1493.6,871.20,790.93,364.05,763.97
25Feb2025  0800,1505.0,963.5,619.51,1611.1,1281.8,781.63,1495.4,872.85,791.68,364.32,764.42
26Feb2025  0800,1506.9,965.0,619.76,1613.7,1284.2,783.18,1497.2,874.49,792.43,364.58,764.87
27Feb2025  0800,1508.8,966.5,620.01,1616.3,1286.3,784.70,1499.0,876.11,793.16,364.83,765.31
28Feb2025  0800,1510.6,968.0,620.29,1618.8,1288.5,786.19,1500.7,877.70,793.83,365.07,765.75
01Mar2025  0800,1512.5,969.4,620.57,1621.4,1290.5,787.64,1502.3,879.28,794.50,365.32,766.18
02Mar2025  0800,1513.4,970.1,620.85,1622.5,1291.7,788.41,1502.8,880.03,795.17,365.55,766.60
03Mar2025  0800,1514.3,970.7,621.12,1623.6,1292.7,789.17,1503.4,880.78,795.84,365.78,767.03
04Mar2025  0800,1515.2,971.3,621.37,1624.8,1293.8,789.92,1503.9,881.52,796.51,366.01,767.44
05Mar2025  0800,1516.1,972.0,621.62,1625.8,1294.9,790.67,1504.5,882.26,797.17,366.23,767.85
06Mar2025  0800,1517.0,972.6,621.87,1626.9,1295.8,791.41,1505.0,883.00,797.84,366.45,768.25
07Mar2025  0800,1517.9,973.2,622.12,1628.1,1296.8,792.14,1505.6,883.72,798.46,366.66,768.65
08Mar2025  0800,1518.8,973.9,622.37,1629.1,1297.9,792.87,1506.1,884.45,799.06,366.87,769.05
09Mar2025  0800,1519.7,974.5,622.62,1630.2,1299.0,793.59,1506.7,885.17,799.66,367.08,769.44
10Mar2025  0800,1520.5,975.1,622.87,1631.3,1299.9,794.30,1507.2,885.89,800.27,367.28,769.83
11Mar2025  0800,1521.4,975.7,623.12,1632.4,1301.0,795.01,1507.7,886.60,800.87,367.48,770.21
12Mar2025  0800,1522.3,976.4,623.37,1633.4,1301.9,795.71,1508.3,887.32,801.47,367.68,770.59
13Mar2025  0800,1523.1,977.0,623.62,1634.5,1302.8,796.41,1508.8,888.03,802.07,367.87,770.97
14Mar2025  0800,1524.0,977.6,623.87,1635.5,1303.8,797.10,1509.4,888.73,802.61,368.06,771.33
15Mar2025  0800,1524.8,978.2,624.12,1636.6,1304.8,797.78,1509.9,889.44,803.18,368.25,771.70
16Mar2025  0800,1525.7,978.8,624.37,1637.7,1305.7,798.46,1510.5,890.14,803.78,368.44,772.06
17Mar2025  0800,1526.5,979.4,624.62,1638.7,1306.8,799.13,1511.0,890.84,804.35,368.62,772.42
18Mar2025  0800,1527.4,980.1,624.87,1639.7,1307.6,799.80,1511.6,891.54,804.89,368.79,772.77
19Mar2025  0800,1528.2,980.7,625.11,1640.8,1308.4,800.46,1512.1,892.24,805.44,368.97,773.12
20Mar2025  0800,1529.0,981.3,625.34,1641.8,1309.4,801.12,1512.7,892.93,805.99,369.15,773.46
21Mar2025  0800,1529.9,981.9,625.57,1642.8,1310.3,801.77,1513.2,893.62,806.53,369.32,773.81
22Mar2025  0800,1530.7,982.5,625.80,1643.8,1311.2,802.41,1513.8,894.31,807.07,369.50,774.14
23Mar2025  0800,1531.5,983.1,626.03,1644.8,1312.1,803.06,1514.3,894.99,807.58,369.67,774.48
24Mar2025  0800,1532.3,983.7,626.28,1645.9,1313.0,803.69,1514.8,895.68,808.08,369.84,774.81
25Mar2025  0800,1533.1,984.3,626.53,1646.8,1313.8,804.33,1515.4,896.36,808.63,370.01,775.14
26Mar2025  0800,1533.9,984.9,626.78,1647.8,1314.7,804.95,1515.9,897.04,809.16,370.18,775.46
27Mar2025  0800,1534.7,985.5,627.02,1648.8,1315.6,805.58,1516.5,897.71,809.67,370.35,775.79
28Mar2025  0800,1535.5,986.1,627.25,1649.9,1316.5,806.20,1517.1,898.38,810.17,370.51,776.11
29Mar2025  0800,1536.3,986.7,627.48,1650.8,1317.3,806.81,1517.6,899.06,810.67,370.68,776.42
30Mar2025  0800,1537.1,987.2,627.71,1651.8,1318.2,807.42,1518.1,899.72,811.17,370.84,776.74
31Mar2025  0800,1537.9,987.8,627.94,1652.8,1319.0,808.02,1518.7,900.39,811.67,371.01,777.05
01Apr2025  0800,1538.7,988.4,628.16,1653.8,1319.9,808.63,1519.2,901.05,812.16,371.17,777.36
02Apr2025  0800,1539.4,989.0,628.39,1654.7,1320.7,809.22,1519.7,901.72,812.62,371.33,777.67
03Apr2025  0800,1540.2,989.6,628.62,1655.7,1321.5,809.81,1520.2,902.37,813.09,371.49,777.98
04Apr2025  0800,1541.0,990.2,628.85,1656.7,1322.3,810.40,1520.7,903.03,813.59,371.65,778.28
05Apr2025  0800,1541.7,990.8,629.07,1657.6,1323.2,810.98,1521.2,903.68,814.09,371.81,778.58
06Apr2025  0800,1542.5,991.3,629.30,1658.6,1324.1,811.56,1521.7,904.34,814.55,371.97,778.88
07Apr2025  0800,1543.3,991.9,629.53,1659.5,1324.9,812.14,1522.2,904.99,815.01,372.13,779.17
08Apr2025  0800,1544.0,992.5,629.76,1660.5,1325.7,812.71,1522.7,905.63,815.48,372.28,779.47
09Apr2025  0800,1544.8,993.0,629.99,1661.4,1326.5,813.27,1523.2,906.28,815.94,372.44,779.76
10Apr2025  0800,1545.5,993.6,630.21,1662.3,1327.3,813.84,1523.7,906.92,816.37,372.59,780.05
11Apr2025  0800,1546.2,994.2,630.44,1663.3,1328.1,814.40,1524.2,907.56,816.80,372.75,780.34
12Apr2025  0800,1547.0,994.8,630.67,1664.2,1328.8,814.96,1524.9,908.20,817.23,372.90,780.63
13Apr2025  0800,1547.7,995.3,630.90,1665.1,1329.6,815.51,1525.3,908.84,817.66,373.05,780.91
14Apr2025  0800,1548.4,995.9,631.12,1666.1,1330.4,816.06,1525.7,909.48,818.09,373.20,781.20
15Apr2025  0800,1549.2,996.4,631.35,1667.0,1331.2,816.61,1526.2,910.11,818.52,373.35,781.48
16Apr2025  0800,1549.9,997.0,631.58,1667.9,1332.0,817.15,1526.7,910.74,818.95,373.50,781.76
17Apr2025  0800,1550.6,997.6,631.81,1668.9,1332.7,817.70,1527.2,911.37,819.38,373.50,782.04
18Apr2025  0800,1551.3,998.1,632.03,1669.8,1333.4,818.24,1527.7,912.00,819.81,373.50,782.31
19Apr2025  0800,1552.0,998.7,632.26,1670.7,1334.2,818.77,1528.2,912.63,820.24,373.50,782.59
20Apr2025  0800,1552.7,999.2,632.49,1671.6,1334.9,819.31,1528.6,913.25,820.67,373.50,782.86
21Apr2025  0800,1553.4,999.8,632.72,1672.5,1335.7,819.84,1529.1,913.88,821.10,373.50,783.14
