"# In the Columbia Basin, every agency and group has a slightly different naming convention",,,,,,,,,,,
# This file is the definitive source to lookup naming conventions,,,,,,,,,,,
# This is intended to be the master list that can be retrieved by scripts to convert between naming conventions if necessary,,,,,,,,,,,
# The first column is used to keep the file in order from upstream to downstream,,,,,,,,,,,
#The # character can be used to denote a comment line,,,,,,,,,,,
"#You can add additional columns with no problem or rearrange the columns, but don't rename them",,,,,,,,,,,
"#For natural lakes (e.g. Arrow), put the lake elevation gage in the ""CBT_Code_Lake"" field, e.g. QBYB",,,,,,,,,,,
"# Feel free to open this file in excel and apply the ""filter"" feature to sort through this list",,,,,,,,,,,
ORDER_ID,POINT_TYPE,MODIFIED_FLOW_CODE,CBT_CODE,CBT_NAME,CBT_CODE_LAKE,RESSIM_NAME,NWRFC_CODE,USGS_CODE,USGS_NAME,HYDSIM_PROJECT_CODE,NOTES
51,Junction,ALF,ALF,Albeni Falls Dam,,Albeni Falls,,12395500,Pend Oreille River at Newport WA                    ,,
52,Reservoir,BOX,BOX,Box Canyon Dam,,Box Canyon,,,,1460,
53,Junction,BOX,BOX,Box Canyon Dam,,Box Canyon,,12396500,Pend Oreille River below Box Canyon near Ione WA    ,,
54,Reservoir,BDY,BDY,Boundary Dam,,Boundary,,,,1450,
55,Reservoir,SEV,SEVB,Seven Mi Dam,,Seven Mile,,,,1442,
56,Reservoir,WAT,WANB,Waneta Dam on Pend Oreille R,,Waneta,WANQ2,,,1440,
57,Junction,,CIBW,Columbia River at Int'l Boundary,,,CIBW1,12399500,Columbia River at International Boundary            ,,
58,Junction,,LAUW,Kettle River Near Laurier 1sE,,Columbia+Kettle,LAUW1,12404500,Kettle River near Laurier WA                       ,,
59,Reservoir,COE,COEI,Cour D'Alene Lk @ Coeur D'Alene,COEI,Post Falls,COEI1,12415500,COEUR D ALENE LAKE AT COEUR D ALENE ID              ,1340,
60,Junction,COE,COEI,Cour D'Alene Lk @ Coeur D'Alene,,Post Falls,PTFI1,12419000,Spokane River nr Post Falls ID                      ,,
61,Reservoir,UPF,UPF,,,Upper Falls,,,,1332,
62,Reservoir,MON,MON,,,Monroe Street,,,,1330,
63,Junction,,SPOW,Spokane River At Spokane,,,SPOW1,12422500,Spokane River at Spokane WA,,
64,Junction,,HAGW,Hangman Creek At Spokane,,,HAGW1,12424000,Hangman Creek at Spokane WA,,
65,Junction,,LSDW,Little Spokane R @ Dartfort,,,LSDW1,12431000,Little Spokane River at Dartford WA,,
66,Reservoir,NIN,NIN,,,Nine Mile,,,,1315,
67,Reservoir,LLK,LLK,Long Lake Dam,,Long Lake,LLKW1,,,1305,
68,Reservoir,LFL,LFL,,,Little Falls,,,,1302,
69,Junction,,KTFW,Colville River At Kettle Falls,,,KTFW1,12409000,Colville River at Kettle Falls WA,,
70,Junction,FDR,BNK,Banks Lake nr Grand Coulee,,Banks Lake,BNKW1,,,,
71,Reservoir,GCL,GCL,Grand Coulee Dam,,Grand Coulee,GCDW1,,,1280,
72,Reservoir,CHJ,CHJ,Chief Joseph Dam,,Chief Joseph,CHJW1,,,1270,
73,Junction,,OKMW,Okanogan River At Malott,,Columbia+Okanogan,OKMW1,12447200,Okanogan River at Malott WA                         ,,
74,Junction,,PATW,Methow River Near Pateros 4NW,,Columbia+Methow,PATW1,12449950,Methow River near Pateros WA                        ,,
75,Reservoir,WEL,WEL,Wells Dam,,Wells,WELW1,,,1220,
76,Junction,,STHW,Stehekin River Near Stehekin 2NW,,,STHW1,12451000,Stehekin River at Stehekin WA,,
77,Junction,,ARDW,Entiat R nr Ardenvoir 6NW,,,ARDW1,12452800,Entiat River nr Ardenvoir WA,,
78,Reservoir,CHL,CHL,Chelan Dam,,Chelan,CHDW1,,,1210,
79,Reservoir,RRH,RRH,Rocky Reach Dam,,Rocky Reach,RRHW1,,,1200,
80,Junction,,PESW,Wenatchee R near Peshastin 1NNW,,,PESW1,12459000,Wenatchee River at Peshastin WA,,
81,Junction,,MONW,Wenatchee River Near Monitor 1N,,Columbia+Wenatchee,MONW1,12462500,Wenatchee River at Monitor WA                       ,,
82,Reservoir,RIS,RIS,Rock Island Dam,,Rock Island,RISW1,,,1170,
